No dump file specified
 num     #instances         #bytes  class name (module)
 276:             7            560  java.util.concurrent.TimeUnit (java.base@15.0.1)
 277:            10            560  sun.invoke.util.Wrapper (java.base@15.0.1)
 278:            23            552  java.util.ImmutableCollections$SetN$SetNIterator (java.base@15.0.1)
 279:            23            552  java.util.regex.Pattern$CharPropertyGreedy (java.base@15.0.1)
 280:            23            552  org.yaml.snakeyaml.tokens.Token$ID
 281:             4            544  [D (java.base@15.0.1)
 282:             4            544  [Ljava.time.temporal.ChronoField; (java.base@15.0.1)
 283:             1            528  [Ljava.lang.Character; (java.base@15.0.1)
 284:            22            528  [Ljava.lang.reflect.TypeVariable; (java.base@15.0.1)
 285:            33            528  com.sun.proxy.$Proxy0
 286:            11            528  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@15.0.1)
 287:            22            528  java.lang.invoke.InvokerBytecodeGenerator$ClassData (java.base@15.0.1)
 288:            33            528  java.lang.ref.ReferenceQueue$Lock (java.base@15.0.1)
 289:             3            528  java.lang.reflect.ProxyGenerator (java.base@15.0.1)
 290:            33            528  java.util.concurrent.CountDownLatch (java.base@15.0.1)
 291:            13            520  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@15.0.1)
 292:            32            512  io.netty.channel.nio.NioEventLoop$1
 293:            16            512  io.netty.handler.codec.CodecOutputList
 294:            16            512  java.time.temporal.ChronoUnit (java.base@15.0.1)
 295:            16            512  org.xml.sax.helpers.LocatorImpl (java.xml@15.0.1)
 296:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@15.0.1)
 297:            21            504  java.util.regex.Pattern$Dollar (java.base@15.0.1)
 298:            21            504  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@15.0.1)
 299:             9            504  sun.util.calendar.ZoneInfo (java.base@15.0.1)
 300:             7            496  [Lsun.invoke.util.Wrapper; (java.base@15.0.1)
 301:            31            496  java.util.LinkedHashMap$LinkedValues (java.base@15.0.1)
 302:            12            480  ch.qos.logback.core.status.InfoStatus
 303:            30            480  com.sun.proxy.$Proxy1
 304:            12            480  java.lang.NoSuchMethodError (java.base@15.0.1)
 305:            12            480  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@15.0.1)
 306:            15            480  java.util.Collections$UnmodifiableMap (java.base@15.0.1)
 307:            10            480  java.util.logging.LogManager$LoggerWeakRef (java.logging@15.0.1)
 308:            11            472  [Ljava.lang.invoke.MethodType; (java.base@15.0.1)
 309:            19            456  [Ljava.lang.reflect.Type; (java.base@15.0.1)
 310:            19            456  java.security.SecurityPermission (java.base@15.0.1)
 311:            14            448  java.util.LinkedHashMap$LinkedValueIterator (java.base@15.0.1)
 312:            11            440  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@15.0.1)
 313:            11            440  java.lang.OutOfMemoryError (java.base@15.0.1)
 314:            11            440  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@15.0.1)
 315:             6            432  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 316:             3            432  [Ljava.time.ZoneOffset; (java.base@15.0.1)
 317:             1            432  [[[C (java.base@15.0.1)
 318:            18            432  java.text.DateFormat$Field (java.base@15.0.1)
 319:             3            432  java.text.DecimalFormat (java.base@15.0.1)
 320:            18            432  java.util.regex.Pattern$BmpCharPredicate$$Lambda$118/0x0000000800b83fe8 (java.base@15.0.1)
 321:            18            432  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@15.0.1)
 322:            18            432  sun.reflect.generics.tree.ClassSignature (java.base@15.0.1)
 323:            13            416  java.lang.invoke.SimpleMethodHandle (java.base@15.0.1)
 324:            13            416  java.net.InetAddress$InetAddressHolder (java.base@15.0.1)
 325:             3            408  io.netty.util.internal.InternalThreadLocalMap
 326:            17            408  java.util.Collections$1 (java.base@15.0.1)
 327:            17            408  sun.nio.ch.OptionKey (java.base@15.0.1)
 328:             5            400  [Lio.netty.handler.codec.DefaultHeaders$HeaderEntry;
 329:            25            400  io.netty.channel.$Proxy18
 330:             7            392  java.util.Properties (java.base@15.0.1)
 331:             7            392  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@15.0.1)
 332:             8            384  [[Ljava.util.concurrent.atomic.AtomicReference; (java.base@15.0.1)
 333:            24            384  com.sun.proxy.$Proxy2
 334:             6            384  java.util.zip.Inflater (java.base@15.0.1)
 335:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@15.0.1)
 336:             1            376  java.util.logging.LogManager$Cleaner (java.logging@15.0.1)
 337:             1            376  jdk.internal.misc.InnocuousThread (java.base@15.0.1)
 338:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@15.0.1)
 339:            23            368  java.util.regex.Pattern$Begin (java.base@15.0.1)
 340:            18            360  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@15.0.1)
 341:             9            360  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit (java.xml@15.0.1)
 342:             4            352  java.text.DecimalFormatSymbols (java.base@15.0.1)
 343:            11            352  java.util.stream.Collectors$CollectorImpl (java.base@15.0.1)
 344:            11            352  java.util.stream.ReduceOps$3 (java.base@15.0.1)
 345:            11            352  java.util.stream.ReduceOps$3ReducingSink (java.base@15.0.1)
 346:            14            336  java.lang.PublicMethods$Key (java.base@15.0.1)
 347:             6            336  java.nio.DirectLongBufferU (java.base@15.0.1)
 348:            14            336  java.util.stream.ReferencePipeline$3$1 (java.base@15.0.1)
 349:            14            336  org.yaml.snakeyaml.nodes.Tag
 350:            18            328  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@15.0.1)
 351:             1            328  java.util.concurrent.ForkJoinPool (java.base@15.0.1)
 352:            10            320  com.sun.org.apache.xerces.internal.impl.XMLEntityManager$EncodingInfo (java.xml@15.0.1)
 353:             8            320  io.micronaut.context.DefaultMethodConstructorInjectionPoint
 354:            10            320  io.micronaut.core.convert.DefaultArgumentConversionContext
 355:            10            320  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@15.0.1)
 356:             8            320  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@15.0.1)
 357:            10            320  java.util.Hashtable$Entry (java.base@15.0.1)
 358:             4            320  jdk.internal.reflect.DelegatingClassLoader (java.base@15.0.1)
 359:            10            320  sun.nio.fs.UnixPath (java.base@15.0.1)
 360:            13            312  io.micronaut.context.DefaultConstructorInjectionPoint$ConstructorAnnotationMetadata
 361:            19            304  java.util.HashMap$EntrySet (java.base@15.0.1)
 362:            12            288  ch.qos.logback.core.joran.spi.HostClassAndPropertyDouble
 363:            12            288  java.lang.annotation.ElementType (java.base@15.0.1)
 364:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@15.0.1)
 365:            18            288  java.util.HashMap$KeySet (java.base@15.0.1)
 366:            18            288  java.util.concurrent.locks.ReentrantLock (java.base@15.0.1)
 367:             9            288  java.util.logging.Level (java.logging@15.0.1)
 368:             9            288  java.util.logging.Level$KnownLevel (java.logging@15.0.1)
 369:            12            288  java.util.regex.Pattern$Start (java.base@15.0.1)
 370:            18            288  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@15.0.1)
 371:            12            288  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@15.0.1)
